Ano,Municipio,TOTAL DE VITIMAS,IDADE,Total CVP,TOTAL DE ENVOLVIDOS,1º série_matrículas,2º série_matrículas,3º série_matrículas,4º série_matrículas,Anos finais_docentes,Anos finais_escolas,Anos iniciais_docentes,Anos iniciais_escolas,Creche_docentes,Creche_escolas,Creche_matrículas,Ensino fundamental_docentes,Ensino fundamental_escolas,Ensino fundamental_matrículas,Ensino infantil_docentes,Ensino infantil_escolas,Ensino infantil_matrículas,Ensino médio_docentes,Ensino médio_escolas,Ensino médio_matrículas,Estadual_docentes,Estadual_escolas,Estadual_matrículas,Federal_docentes,Federal_escolas,Federal_matrículas,Municipal_docentes,Municipal_escolas,Municipal_matrículas,Não seriada_matrículas,Privado_docentes,Privado_escolas,Privado_matrículas,Pré-escolar_docentes,Pré-escolar_escolas,Pré-escolar_matrículas,IDEB
2015,abreu e lima,42,26.738095238095237,1097,360,1467.0,1085.0,906.0,0.0,276.0,24.0,323.0,62.0,16.0,12.0,338.0,566.0,70.0,12782.0,103.0,59.0,2128.0,228.0,15.0,3458.0,89.0,6.5,797.5555555555555,0.0,0.0,0.0,80.33333333333333,32.5,893.3333333333334,0.0,75.25,19.5,416.42857142857144,91.0,58.0,1790.0,4.033333333333333
2015,afogados da ingazeira,5,33.8,40,171,515.0,596.0,572.0,26.0,155.0,13.0,116.0,31.0,30.0,11.0,473.0,258.0,33.0,5604.0,74.0,28.0,1523.0,115.0,6.0,1709.0,26.0,2.0,255.0,0.0,0.0,37.333333333333336,66.0,18.25,498.72727272727275,0.0,13.666666666666666,2.0,72.53846153846153,44.0,28.0,1050.0,5.4
2015,agrestina,15,28.4,297,39,318.0,320.0,216.0,14.0,93.0,8.0,91.0,25.0,32.0,21.0,384.0,180.0,25.0,3704.0,77.0,27.0,1153.0,39.0,1.0,868.0,0.0,0.0,217.0,0.0,0.0,0.0,53.5,15.75,350.0,0.0,15.0,4.0,91.54545454545455,50.0,25.0,769.0,4.2
2015,altinho,15,32.2,232,35,305.0,323.0,283.0,0.0,111.0,9.0,68.0,33.0,11.0,5.0,149.0,153.0,33.0,3119.0,55.0,32.0,743.0,44.0,2.0,935.0,11.5,1.0,166.33333333333334,0.0,0.0,0.0,37.75,15.25,224.8181818181818,24.0,18.25,4.0,75.18181818181819,45.0,32.0,594.0,3.966666666666667
2015,amaraji,4,26.0,41,38,187.0,244.0,139.0,0.0,86.0,4.0,80.0,30.0,23.0,3.0,136.0,161.0,31.0,3697.0,67.0,29.0,701.0,24.0,2.0,570.0,0.0,0.0,190.0,0.0,0.0,0.0,45.75,13.5,299.90909090909093,0.0,13.0,3.0,99.9090909090909,45.0,29.0,565.0,4.0
2015,angelim,6,24.5,35,17,160.0,149.0,128.0,0.0,47.0,3.0,36.0,12.0,3.0,2.0,67.0,83.0,13.0,1853.0,14.0,12.0,349.0,18.0,1.0,437.0,9.0,1.0,136.75,0.0,0.0,0.0,22.5,7.0,190.1818181818182,0.0,0.0,0.0,0.0,11.0,12.0,282.0,4.0
2015,araripina,28,33.964285714285715,174,258,1428.0,1206.0,852.0,118.0,398.0,24.0,337.0,104.0,46.0,21.0,709.0,688.0,112.0,14586.0,167.0,99.0,3667.0,260.0,16.0,3688.0,90.0,5.0,626.0,0.0,0.0,0.0,144.25,50.25,1102.1818181818182,84.0,44.0,9.0,209.35714285714286,124.0,98.0,2958.0,4.166666666666667
2015,arcoverde,23,34.608695652173914,188,277,1290.0,1080.0,895.0,30.0,235.0,19.0,284.0,45.0,25.0,15.0,701.0,493.0,52.0,11229.0,117.0,41.0,2836.0,170.0,9.0,3295.0,86.0,7.0,528.5833333333334,0.0,0.0,0.0,85.66666666666667,14.5,518.2727272727273,0.0,57.25,12.0,379.7142857142857,96.0,41.0,2135.0,4.766666666666667
2015,barra de guabiraba,9,28.666666666666668,38,15,168.0,130.0,197.0,17.0,29.0,2.0,53.0,9.0,6.0,2.0,52.0,79.0,11.0,1907.0,20.0,7.0,371.0,26.0,1.0,512.0,8.0,1.0,116.6,0.0,0.0,0.0,20.75,3.75,182.8181818181818,0.0,4.666666666666667,1.3333333333333333,28.0,14.0,7.0,319.0,4.8
2015,barreiros,25,31.36,159,51,913.0,668.0,639.0,63.0,211.0,21.0,163.0,38.0,20.0,12.0,417.0,342.0,43.0,7647.0,75.0,37.0,1777.0,178.0,8.0,2283.0,69.0,4.0,336.125,0.0,0.0,126.0,55.25,16.0,547.2727272727273,0.0,44.25,9.75,187.14285714285714,55.0,36.0,1360.0,3.8
